"[0.49528691784320994, 0.0038247091717113425, 0.728494862875081]","(-0.3672424418599123, -0.5873270384894469, 0.5471511474024756, 0.4698995218683876)"
0.0,0.0,0.0
-1.0966714727536291e-07,3.133144624128951e-06,0.0
-2.0748337698174593e-07,5.948947896778645e-06,0.0
-2.95428029638862e-07,8.480606532717573e-06,0.0
-3.7449683695596036e-07,1.075679341258187e-05,0.0
-4.4558559719107536e-07,1.280328840183042e-05,0.0
-5.094996995066667e-07,1.4643269898307126e-05,0.0
-5.669632488452448e-07,1.6297577348602683e-05,0.0
-5.096425053288977e-07,1.4649867854070627e-05,0.0
-5.678746193787649e-07,1.6304683011945357e-05,0.0
-6.194461184777399e-07,1.77913355087691e-05,0.0
-5.568304890123884e-07,1.5992923969886596e-05,0.0
-5.006532252516022e-07,1.4379437060466925e-05,0.0
-4.501434267649508e-07,1.2928727404268417e-05,2.6020852139652105e-19
-4.047294504657682e-07,1.1624376646177926e-05,2.312964634635743e-19
-4.7354910235172167e-07,1.3584495420258224e-05,2.023844055306275e-19
-5.346404423241988e-07,1.5345644284521875e-05,1.7347234759768072e-19
-5.895666756573086e-07,1.692907455741056e-05,1.4456028966473394e-19
-6.389494574019525e-07,1.835271957922134e-05,1.1564823173178716e-19
-6.833482628917207e-07,1.963270341124489e-05,1.1564823173178716e-19
-7.232661018852892e-07,2.0783523022350545e-05,1.1564823173178716e-19
-7.591552176752209e-07,2.1818212480335573e-05,1.1564823173178716e-19
-6.824446515742784e-07,1.9613538330364373e-05,1.1564823173178716e-19
-6.135944523313777e-07,1.763477563314754e-05,1.1564823173178716e-19
-6.613343016996827e-07,1.8988379874776273e-05,1.1564823173178716e-19
-7.034733579096684e-07,2.020421831451776e-05,1.1564823173178716e-19
-7.413600731431058e-07,2.1297365886736127e-05,1.1564823173178716e-19
-7.754230559379791e-07,2.2280203038634127e-05,1.1564823173178716e-19
-8.060482183583932e-07,2.3163861285569688e-05,1.1564823173178716e-19
-8.335825238349763e-07,2.395834885241235e-05,1.1564823173178716e-19
-8.583379183681646e-07,2.4672664025821403e-05,1.1564823173178716e-19
-8.805948646778304e-07,2.5314897067943805e-05,1.1564823173178716e-19
-9.006055196672288e-07,2.5892321845915996e-05,1.1564823173178716e-19
-9.185965911998519e-07,2.6411478214957046e-05,1.1564823173178716e-19
-9.347719065547275e-07,2.687824608811616e-05,1.1564823173178716e-19
-8.40343768677345e-07,2.4163076465343266e-05,1.1564823173178716e-19
-7.555634761788108e-07,2.172532091196637e-05,1.1564823173178716e-19
-6.793363453772486e-07,1.953350125541114e-05,1.1564823173178716e-19
-6.107996016249481e-07,1.756280944827117e-05,1.1564823173178716e-19
-5.491773786045808e-07,1.579093638580292e-05,1.1564823173178716e-19
-4.937720855885378e-07,1.4197823683899295e-05,1.1564823173178716e-19
-4.439565102371108e-07,1.276543660452737e-05,1.1564823173178716e-19
-3.9916671827851375e-07,1.1477559894549477e-05,1.1564823173178716e-19
-3.5889566952434307e-07,1.0319614221909959e-05,1.1564823173178716e-19
-3.226874779511395e-07,9.278491131169694e-06,1.1564823173178716e-19
-2.901322508696483e-07,8.342404650012295e-06,1.1564823173178716e-19
-2.608614487588948e-07,7.5007578668422105e-06,1.1564823173178716e-19
-2.3454371323636222e-07,6.744022969074407e-06,1.1564823173178716e-19
-2.1088111593501152e-07,6.063633384095586e-06,1.4456028966473394e-19
-1.8960578582287692e-07,5.4518868018861414e-06,3.758567531283082e-19
-1.7047687678537144e-07,4.90185798148527e-06,3.4694469519536144e-19
-1.532778411390879e-07,4.40732035416697e-06,3.1514143146911995e-18
-1.378139782252769e-07,3.962675536107756e-06,2.833381677428785e-18
-1.2391023028743697e-07,3.5628899516807543e-06,3.4839029809200874e-17
-1.1140920083970599e-07,3.2034378531049708e-06,3.128284668344842e-17
-2.098323221558748e-07,6.013320806431617e-06,2.813143236875722e-17
-2.975393494284992e-07,8.538483130260453e-06,2.5298050691328435e-17
-3.763950743175029e-07,1.0808829635084031e-05,2.2753789593229117e-17
-4.472922569524565e-07,1.2850073606246807e-05,2.0469737016526322e-17
-5.110341164374122e-07,1.4685333969203633e-05,1.84169809032871e-17
-5.683428063727635e-07,1.6335396699455663e-05,1.6566609195578506e-17
-6.198675967234977e-07,1.7818950242571594e-05,1.4889709835467592e-17
-6.661922296326477e-07,1.915279717766889e-05,1.3386282822954359e-17
-7.078415328452896e-07,2.035204452175685e-05,1.202741610010586e-17
-7.452873656692115e-07,2.1430274830310748e-05,1.0813109666922095e-17
-7.789539648364313e-07,2.2399700031944104e-05,9.714451465470116e-18
-8.092227508310004e-07,2.327129973949708e-05,8.731441495749926e-18
-8.364366491358906e-07,2.405494560403797e-05,7.864079757761522e-18
-8.609039753560296e-07,2.4759513120199343e-05,7.083454193571959e-18
-8.829019282335875e-07,2.5392982149145483e-05,6.360652745248289e-18
-9.026797301291463e-07,2.5962527297684174e-05,5.72458747072346e-18
-9.204614505484743e-07,2.6474599177146742e-05,5.146346312064524e-18
-9.36448544703712e-07,2.693499746236837e-05,4.625929269271482e-18
-9.508221358692312e-07,2.7348936578225907e-05,4.163336342344334e-18
-9.637450673898322e-07,2.772110475769311e-05,3.729655473350132e-18
-9.753637475891848e-07,2.8055717140298515e-05,3.3537987202218236e-18
-9.858098084802138e-07,2.8356563512374845e-05,3.0068540250264623e-18
-9.952015970694885e-07,2.862705122979931e-05,2.7177334456969943e-18
-1.0036455161511615e-06,2.8870243809366288e-05,2.4575249243004734e-18
-1.0112372297807945e-06,2.9088895625871413e-05,2.1973164029039525e-18
-1.0180627470862963e-06,2.9285483107885546e-05,1.9660199394403782e-18
-1.0241993966948434e-06,2.9462232785536517e-05,1.7636355339097507e-18
-1.0297167028154133e-06,2.9621146507966532e-05,1.59016318631207e-18
-1.0346771729023944e-06,2.976402411607542e-05,1.4166908387143894e-18
-1.0391370058239513e-06,2.9892483827338424e-05,1.2721305490496554e-18
-1.0431467285582495e-06,3.0007980563575167e-05,1.1564823173178683e-18
-1.0467517686309026e-06,3.0111822429248588e-05,1.0408340855860811e-18
-1.0499929687789662e-06,3.0205185526925345e-05,9.25185853854294e-19
-1.052907049672283e-06,3.0289127277695217e-05,8.384496800554537e-19
-1.0555270259345302e-06,3.0364598397416846e-05,7.5171350625661335e-19
-1.0578825801771834e-06,3.0432453664430264e-05,6.64977332457773e-19
-1.0600003992839914e-06,3.0493461600690594e-05,6.071532165918795e-19
-1.061904476755818e-06,3.0548313175971104e-05,5.493291007259859e-19
-1.0636163845412236e-06,3.059762963371729e-05,4.915049848600923e-19
-1.06515551743246e-06,3.064196952718798e-05,4.336808689941988e-19
-1.066539312795705e-06,3.068183504557368e-05,3.7585675312830523e-19
-1.0677834481249622e-06,3.07176777017409e-05,3.4694469519535845e-19
-1.0689020186577666e-06,3.074990344602195e-05,3.1803263726241167e-19
-1.069907697064939e-06,3.0778877263967255e-05,2.891205793294649e-19
-1.07081187702364e-06,3.08049273101357e-05,2.602085213965181e-19
-1.0716248023002243e-06,3.0828348624739696e-05,2.3129646346357134e-19
-1.0723556828053924e-06,3.084940647524159e-05,2.0238440553062456e-19
-1.0730127989364233e-06,3.0868339360746044e-05,1.7347234759767778e-19
-1.0736035953886274e-06,3.088536171321701e-05,1.44560289664731e-19
-1.0741347654988709e-06,3.090066632611283e-05,1.1564823173178423e-19
-1.0746123270766628e-06,3.0914426537945395e-05,1.1564823173178423e-19
-1.0750416905820066e-06,3.092679819549523e-05,1.1564823173178423e-19
-1.075427720422341e-06,3.0937921418915904e-05,1.1564823173178423e-19
-1.0757747900630946e-06,3.094792218872132e-05,1.1564823173178423e-19
-1.0760868315761678e-06,3.095691377262795e-05,1.1564823173178423e-19
-1.0763673801877379e-06,3.0964998008414277e-05,1.1564823173178423e-19
-1.0766196143300383e-06,3.097226645732459e-05,1.1564823173178423e-19
-1.0768463916509222e-06,3.09788014410829e-05,1.1564823173178423e-19
-1.0770502813891278e-06,3.098467697426039e-05,1.1564823173178423e-19
-1.0772335934820742e-06,3.0989959602557095e-05,1.1564823173178423e-19
-1.0773984047359293e-06,3.099470915649162e-05,1.1564823173178423e-19
-1.077546582354477e-06,3.0998979429035925e-05,1.1564823173178423e-19
-1.0776798050932981e-06,3.100281878486901e-05,1.1564823173178423e-19
-1.0777995822789723e-06,3.100627070815028e-05,1.1564823173178423e-19
-1.0779072709087594e-06,3.1009374295016714e-05,1.1564823173178423e-19
-1.0780040910244954e-06,3.101216469638226e-05,1.1564823173178423e-19
-1.0780911395348622e-06,3.1014673516053196e-05,1.1564823173178423e-19
-1.0781694026426387e-06,3.101692916866959e-05,1.1564823173178423e-19
-1.0782397670177454e-06,3.1018957201527134e-05,1.1564823173178423e-19
-1.0783030298426159e-06,3.1020780583922537e-05,1.1564823173178423e-19
-1.078359907843771e-06,3.102241996730211e-05,1.1564823173178423e-19
-1.0784110454118571e-06,3.102389391915788e-05,1.1564823173178423e-19
-1.0784570219021515e-06,3.102521913332075e-05,1.1564823173178423e-19
-1.0784983581982977e-06,3.102641061903353e-05,1.1564823173178423e-19
-1.0785355226135748e-06,3.1027481870944005e-05,1.1564823173178423e-19
-1.0785689361965755e-06,3.102844502194407e-05,1.1564823173178423e-19
-1.0785989775013998e-06,3.10293109805851e-05,1.44560289664731e-19
-1.0786259868764675e-06,3.103008955462828e-05,1.1564823173178423e-19
-1.0786502703203847e-06,3.103078956212503e-05,1.1564823173178423e-19
-1.0786721029487476e-06,3.103141893129008e-05,1.1564823173178423e-19
-1.0786917321110153e-06,3.1031984790295557e-05,1.1564823173178423e-19
-1.0787093801928032e-06,3.103249354800373e-05,1.1564823173178423e-19
-1.0787252471353884e-06,3.103295096655357e-05,1.1564823173178423e-19
-1.0787395127008987e-06,3.103336222662169e-05,1.1564823173178423e-19
-1.0787523385089015e-06,3.103373198609843e-05,1.1564823173178423e-19
-1.0787638698674537e-06,3.103406443284249e-05,1.1564823173178423e-19
-1.0787742374193463e-06,3.103436333211253e-05,1.1564823173178423e-19
-1.0787835586221908e-06,3.1034632069211594e-05,1.1564823173178423e-19
-1.078791939079153e-06,3.103487368782924e-05,1.1564823173178423e-19
-1.0787994737353564e-06,3.1035090924513595e-05,1.1564823173178423e-19
-1.078806247953558e-06,3.103528623966558e-05,1.1564823173178423e-19
-1.0788123384812477e-06,3.1035461845405205e-05,1.1564823173178423e-19
-1.0788178143201399e-06,3.103561973062531e-05,1.1564823173178423e-19
-1.0788227375079288e-06,3.103576168351806e-05,1.1564823173178423e-19
-1.0788271638211382e-06,3.10358893118278e-05,1.1564823173178423e-19
-1.0788311434070175e-06,3.103600406105999e-05,1.1564823173178423e-19
-1.0788347213516872e-06,3.103610723085279e-05,1.1564823173178423e-19
-9.6988427759906e-07,2.790164429960185e-05,1.1564823173178423e-19
-8.720349160108885e-07,2.508671268835755e-05,1.1564823173178423e-19
-8.936915221782173e-07,2.568833555542852e-05,1.1564823173178423e-19
-9.123798361877534e-07,2.6228075959471972e-05,1.1564823173178423e-19
-9.291825844511909e-07,2.6713351104972963e-05,1.1564823173178423e-19
-9.442895078360446e-07,2.7149656736613575e-05,1.1564823173178423e-19
-9.578717584905445e-07,2.7541934408400914e-05,1.1564823173178423e-19
-9.700832146636032e-07,2.7894627017954204e-05,1.1564823173178423e-19
-9.810622243756303e-07,2.8211729126440554e-05,1.1564823173178423e-19
-8.819639607095919e-07,2.536202738264667e-05,1.1564823173178423e-19
-7.929846989471722e-07,2.280331231882743e-05,1.1564823173178423e-19
-7.129822236152715e-07,2.050273648968101e-05,2.9490299091605693e-18
-6.410510215054601e-07,1.8434260680043693e-05,5.4932910072598866e-18
-5.763767995355202e-07,1.6574468827160237e-05,7.777343583962682e-18
-5.182274170044043e-07,1.490230726746126e-05,9.830099697201904e-18
-4.6594459726949296e-07,1.3398846394998689e-05,1.1680471404910498e-17
-4.1893647576501034e-07,1.2047066369967602e-05,1.3328458707088465e-17
-3.7667089983474195e-07,1.083166444663328e-05,1.1969591984239966e-17
-3.3866940452785596e-07,9.738881739454071e-06,1.0755285551056201e-17
-3.0450179616584795e-07,8.756347466475621e-06,9.916835871000744e-18
-2.737812823614567e-07,7.872938906633788e-06,9.165122364744128e-18
-2.4616009335679976e-07,7.078655485624298e-06,8.23993651088983e-18
-2.21325545116811e-07,6.364505564997935e-06,7.401486830834374e-18
-1.989964996082539e-07,5.722404652853695e-06,6.6786853825107044e-18
-1.7892018219332962e-07,5.145083883827541e-06,6.042620107985875e-18
-1.6086932010922347e-07,4.626007732330076e-06,5.4354668913939924e-18
-1.4463956964027644e-07,4.15930002751623e-06,4.886137790668003e-18
-1.3004720285707774e-07,3.739677432441904e-06,4.394632805807908e-18
-1.1692702773529558e-07,3.3623896343603465e-06,3.960951936813706e-18
-1.0513051810915318e-07,3.0231655690880335e-06,3.556183125752451e-18
-9.452413228975465e-08,2.718165070675415e-06,3.20923843055709e-18
-8.498780131430908e-08,2.443935399035611e-06,2.891205793294675e-18
-7.641356971253894e-08,2.197372153404655e-06,2.602085213965207e-18
-6.870437340317443e-08,1.975684129156415e-06,2.3418766925686863e-18
-6.177294088576356e-08,1.7763617201358657e-06,2.110580229105112e-18
-5.5540805288820336e-08,1.597148508811164e-06,1.9081958235744845e-18
-4.993741609024903e-08,1.4360157226325604e-06,1.705811418043857e-18
-4.489934045433307e-08,1.2911392674328502e-06,1.5323390704461763e-18
-4.036954514408152e-08,1.1608790778773322e-06,1.3877787807814423e-18
-3.629675087984012e-08,1.0437605512012777e-06,1.2432184911167083e-18
-3.2634851835239995e-08,9.384578540566244e-07,1.1275702593849212e-18
-2.9342393698925294e-08,8.437789134940501e-07,1.011922027653134e-18
-2.6382104393470353e-08,7.586519221717137e-07,8.96273795921347e-19
-2.3720472139034974e-08,6.821132050236921e-07,8.095376221225066e-19
-2.1327366085247276e-08,6.132963100334468e-07,7.228014483236663e-19
-1.9175695216691758e-08,5.514221996150596e-07,6.3606527452482595e-19
-1.7241101670674353e-08,4.957904315643578e-07,5.782411586589324e-19
-1.5501684995482873e-08,4.4577122974440846e-07,5.204170427930388e-19
-1.393775422761457e-08,4.0079835474204295e-07,4.625929269271453e-19
-1.2531604981394204e-08,3.603626937880987e-07,4.047688110612517e-19
-1.1267319027520173e-08,3.240064973764555e-07,3.7585675312830494e-19
-1.013058409169563e-08,2.9131819733784556e-07,3.4694469519535816e-19
-9.108531833369447e-09,2.619277477067611e-07,3.180326372624114e-19
-8.189592170456649e-09,2.3550243563800965e-07,2.891205793294646e-19
-0.017405892466741995,-0.015936919956374848,0.007039230254014416
-0.035054607643372884,-0.0362975133489922,0.01384197943439163
-0.053358366972538596,-0.042394293343500394,0.021267239003920926
-0.07157055286123774,-0.05700724929828311,0.028144039393954573
-0.08951099814711283,-0.08410344307933477,0.033808280266675664
-0.10640396661725382,-0.11769115445200162,0.03924479315915705
-0.12240350470645907,-0.151059390198872,0.043740701208221454
-0.13877577103265115,-0.17291690918237107,0.04745997320638835
-0.15456224161062943,-0.19775627388864248,0.05115984992656985
-0.17018191538340424,-0.22310082481224847,0.054617022199068645
-0.18555732160955793,-0.24947889051223257,0.057930044347356095
-0.20116574169480905,-0.27421671457092484,0.061200535719635615
-0.21786162332093076,-0.30682815154814574,0.06676476633112988
-0.23464580556872164,-0.33580820168377473,0.07303303297884235
-0.25106233182509435,-0.36684426801296033,0.07982083545830568
-0.266121647016346,-0.4058103945165681,0.08822287124141313
-0.2807562209879679,-0.442630716940017,0.09707894500059742
-0.29454593181994,-0.46999236799408756,0.10221301320992661
-0.3080163197138366,-0.5073800287213146,0.10781042346672515
-0.319106170147009,-0.5422073729369091,0.11354992377166992
-0.32919437719163525,-0.5648408662514919,0.11939938544765068
-0.344125079760687,-0.587270235931405,0.12562217558237543
-0.3571551469594283,-0.6116081089321904,0.13149709077368657
-0.36857262311695566,-0.628955153634951,0.13455642159582334
-0.3808640535853411,-0.6541328320121981,0.14011878018656848
-0.38921516742312956,-0.6897629374218419,0.14757812876241183
-0.35513453399677114,-0.6109756136380853,0.13266527840883238
-0.3688743243125308,-0.653420227122861,0.1469816542185742
-0.37960853786922616,-0.7176423314973551,0.16352019256115422
-0.39035486282660026,-0.7481081683044223,0.1759322428748218
-0.40082075464802336,-0.7845328332077374,0.18903187882101538
-0.4087264360309415,-0.8281548091743651,0.20194150148006565
-0.4229590212048715,-0.8381634748256325,0.20624279233560486
-0.42729376910759775,-0.8717933984631392,0.21586241810976137
-0.42165521912296333,-0.7839828599808931,0.18545753543971663
-0.4278435976593025,-0.8227336591777569,0.1923111279794415
-0.43336294245696955,-0.850437290855325,0.20007336015977112
-0.4376082949527361,-0.8882253761583607,0.21110907378160004
-0.4424469467512327,-0.9100863907216098,0.22158336944797274
-0.44640068535896404,-0.9266520637677574,0.23145523072136648
-0.45458619020679375,-0.9093212956372178,0.23079891388817017
-0.46140056890124503,-0.8849832268878914,0.23386880522035308
-0.4822442308106347,-0.7997283320613113,0.2291189978434177
-0.49195309779952123,-0.7687330314166342,0.2261170793226369
-0.5012322757554079,-0.7510813389665795,0.22053517835606956
-0.508723962867707,-0.7051759231346478,0.21546887586932972
-0.5144320671927232,-0.6950869577058112,0.21443810182395845
-0.5195119124180674,-0.6331867186813092,0.20626647204298623
-0.5256191746290136,-0.5752036365958855,0.19757538747668577
-0.5262620966612316,-0.523286414942193,0.18479429798306898
-0.521395587489852,-0.47664640250095824,0.17118211585987367
-0.4871482003502719,-0.4373626137619044,0.1538551912714591
