"[0.4991480811287381, -0.025036119393914737, 0.7119417294997961]","(-0.03503343932234181, -0.75357949287027, 0.6512396733172969, 0.08232553645263789)"
0.0,0.0,0.0
-2.8912057932946785e-20,4.4675327997916684e-07,-6.730948835942617e-09
-2.8912057932946785e-20,8.48295191362028e-07,-1.2780694201755827e-08
-5.782411586589357e-20,1.209322802122367e-06,-1.822001042043036e-08
-5.782411586589357e-20,1.5339238393559298e-06,-2.3110490230254337e-08
-8.673617379884036e-20,1.8257736321122024e-06,-2.750751217383586e-08
-1.1564823173178714e-19,2.0881766800495975e-06,-3.1460867002861516e-08
-1.1564823173178714e-19,2.3241040689914705e-06,-3.501532149607738e-08
-1.1564823173178714e-19,2.5362271113551475e-06,-3.821112538684018e-08
-1.1564823173178714e-19,2.7269475923649496e-06,-4.108446714085779e-08
-1.1564823173178714e-19,2.4513351650550784e-06,-3.6932062617873784e-08
-1.1564823173178714e-19,2.204025925811827e-06,-3.3206076697994057e-08
-1.1564823173178714e-19,1.9816666165440747e-06,-2.9855988937415104e-08
-8.673617379884036e-20,1.7817406475823898e-06,-2.684388414249597e-08
-5.782411586589358e-20,1.6019847681455305e-06,-2.4135663948899115e-08
-5.782411586589358e-20,1.4403640624422688e-06,-2.170067011025469e-08
-5.782411586589358e-20,1.2950489128413011e-06,-1.951133742295631e-08
-5.782411586589358e-20,1.1643942877939303e-06,-1.7542881675927314e-08
-2.8912057932946797e-20,1.046921119351812e-06,-1.5773019082408866e-08
-2.8912057932946797e-20,9.412995594657194e-07,-1.4181714017679162e-08
-1.2037062152420224e-35,8.463339255195666e-07,-1.2750952206958572e-08
-1.2037062152420224e-35,7.609491646760381e-07,-1.1464536795864221e-08
1.0119220276531375e-18,6.841786838046018e-07,-1.0307904993933293e-08
2.269307427156993e-16,6.151534072212088e-07,-9.26796300515307e-09
8.569938740136489e-15,5.530919383684503e-07,-8.332930680987216e-09
3.1735525665710363e-13,4.972917140620908e-07,-7.49194351058949e-09
2.1689158860120164e-12,4.47121051166127e-07,-6.734296140964035e-09
3.8319271656224915e-12,4.0201199566124413e-07,-6.0530878149027104e-09
5.327163767980074e-12,3.6145389315496186e-07,-5.440605089876142e-09
1.6249146125857372e-11,3.2498760804881594e-07,-4.880752963289455e-09
2.6058586769887408e-11,2.922003259209963e-07,-4.3773932661292995e-09
3.487839022227786e-11,2.627208802851043e-07,-3.924816402463056e-09
4.2808386580920715e-11,2.3621555082194424e-07,-3.5178990160737304e-09
4.9938346195534575e-11,2.123842855183867e-07,-3.1520346234073445e-09
5.6348982713690565e-11,1.9095730394633837e-07,-2.823081478880248e-09
6.211286675966709e-11,1.7169204322933054e-07,-2.5273156884332963e-09
6.729524755731223e-11,1.5437041212388647e-07,-2.2613890534311877e-09
7.195479137291534e-11,1.3879632213047764e-07,-2.0222911675544423e-09
7.614424594321045e-11,1.2479346768529267e-07,-1.8073153377447175e-09
7.991103733590021e-11,1.1220333030352022e-07,-1.6140279432130391e-09
8.329780690439584e-11,1.0088338408024751e-07,-1.440240885754178e-09
8.634289409027255e-11,9.070548223436486e-08,-1.2839868195578574e-09
8.908077033543497e-11,8.155440643053674e-08,-1.1434968799830893e-09
9.154242933707516e-11,7.332656245685792e-08,-1.0171806591969555e-09
9.37557379822318e-11,6.592880749268747e-08,-9.036082021157153e-10
9.574575166269398e-11,5.927739569088689e-08,-8.014938186592169e-10
9.753499801793777e-11,5.329703013791324e-08,-7.096815291462695e-10
9.914373196838928e-11,4.792001045953555e-08,-6.271319781406661e-10
1.0059016495913194e-10,4.308546642279671e-08,-5.529106684795946e-10
1.6015952091751512e-10,3.8738668858131667e-08,-4.3044043854419563e-10
2.1365428685508427e-10,3.4830410101023965e-08,-3.2038791480225987e-10
2.61752159096823e-10,3.1316446939576396e-08,-2.2143827557199067e-10
3.0499754591119715e-10,2.8156999761838587e-08,-1.3247144457773527e-10
3.438800036103621e-10,2.531630223307072e-08,-5.248027851410798e-11
3.7883969826920285e-10,2.2762196405060928e-08,1.9440757416789418e-11
4.102723885739586e-10,2.0465768673977437e-08,8.410584062245248e-11
4.3853390597689556e-10,1.8401022465637987e-08,1.4224700798046647e-10
4.6394418292660297e-10,1.6544583942816323e-08,1.9452244277879553e-10
4.86790874594754e-10,1.487543740311436e-08,2.4152392568560055e-10
8.6183184304367e-10,1.3374687371940997e-08,6.228790035694711e-10
1.198642778175302e-09,1.2025344697406823e-08,9.653841020927716e-10
1.501474059696408e-09,1.0812134225641463e-08,1.2733350508835759e-09
1.7737533814417747e-09,9.72132187932188e-09,1.5502175228973064e-09
2.018563061608377e-09,8.74055918185568e-09,1.7991659471133517e-09
2.238674449896866e-09,7.858743467190709e-09,2.0229985265811103e-09
2.4365793007951704e-09,7.0658921927204845e-09,2.224249142203714e-09
2.614517981280873e-09,6.353029932530362e-09,2.4051960373520295e-09
2.77450483302776e-09,5.712086771604165e-09,2.5678876085695882e-09
2.9183509751146144e-09,5.135806950833481e-09,2.7141655942934962e-09
3.0476848070400133e-09,4.617666728620022e-09,2.8456859241200335e-09
3.1639704428191677e-09,4.151800529252018e-09,2.9639374646602176e-09
3.2685242852259028e-09,3.732934541997452e-09,3.070258874127552e-09
3.3625299282527094e-09,3.3563270192440004e-09,3.1658537565064556e-09
5.6037788890665276e-09,3.017714597822943e-09,5.314816949223152e-09
7.6165621708373e-09,2.7132640358651028e-09,7.24472694758459e-09
9.426283252740585e-09,2.439528818805129e-09,8.979935354312912e-09
1.1053426014791025e-08,2.193410143321873e-09,1.054008269610589e-08
1.2516410338204997e-08,1.972121837521731e-09,1.1942830471442508e-08
1.3831797764877335e-08,1.7731588202325447e-09,1.3204058349408513e-08
1.5014478983345577e-08,1.59426874240558e-09,1.433804393692183e-08
1.6077842397189954e-08,1.433426489499355e-09,1.535762440700265e-08
1.7033925686782643e-08,1.2888112563138233e-09,1.627434182070788e-08
1.7893552080461513e-08,1.158785934659088e-09,1.709857378794175e-08
1.8666452877702288e-08,1.0418785805817065e-09,1.7839650946117138e-08
1.9361377610969257e-08,9.367657512940277e-10,1.8505962586774145e-08
1.998619309391547e-08,8.422575232421192e-10,1.9105051625720064e-08
2.0547972476737255e-08,7.572840216238043e-10,1.964369999186514e-08
2.1053075316759813e-08,6.80883308939665e-10,2.0128005401407082e-08
2.150721957131183e-08,6.121904954507362e-10,2.0563450386381316e-08
2.1915546326937056e-08,5.504279482221208e-10,2.0954964359185496e-08
2.2282677998615205e-08,4.948964880012745e-10,2.130697941548955e-08
2.261277065726194e-08,4.4496747417351777e-10,2.1623480507331964e-08
2.2909561077973787e-08,4.000756882938861e-10,2.190805055439417e-08
2.3176409041780522e-08,3.5971293556320297e-10,2.2163911004076092e-08
2.341633536960194e-08,3.234222918236701e-10,2.239395829959032e-08
2.3632056119285424e-08,2.9079293099293283e-10,2.2600796668866802e-08
2.382601333207612e-08,2.614554743246513e-10,2.2786767605441058e-08
2.4000402677864145e-08,2.3507780887563143e-10,2.2953976375130084e-08
2.4157198310678407e-08,2.1136132784324966e-10,2.3104315848480243e-08
2.4298175216984582e-08,1.9003755021100733e-10,2.323948792877997e-08
2.4424929309334086e-08,1.7086508141903664e-10,2.3361022818375758e-08
2.4538895492497155e-08,1.5362688066505101e-10,2.3470296341100356e-08
2.464136390724e-08,1.3812780391790782e-10,2.356854551718394e-08
2.4733494535164137e-08,1.2419239479785785e-10,2.365688256683104e-08
2.4816330330216147e-08,1.1166289833262132e-10,2.3736307500959197e-08
2.489080902524458e-08,1.0039747509570948e-10,2.380771944180196e-08
2.495777374758243e-08,9.026859553553318e-11,2.387192680123265e-08
2.501798256349571e-08,8.116159626624603e-11,2.392965643239203e-08
2.5072117059802652e-08,7.297338204283346e-11,2.398156185792986e-08
2.5120790059692443e-08,6.561125867168417e-11,2.4028230668152416e-08
2.5164552560086782e-08,5.899188366913149e-11,2.4070191172754588e-08
2.5203899969242913e-08,5.3040322792336835e-11,2.4107918381524825e-08
2.5239277714883318e-08,4.7689201752282035e-11,2.4141839381640962e-08
2.52710862866321e-08,4.287794349561096e-11,2.417233817248188e-08
2.5299685769685873e-08,3.855208246121146e-11,2.4199760012627694e-08
2.53253999210959e-08,3.4662647994439895e-11,2.422441532832908e-08
2.534851983489184e-08,3.11656099800943e-11,2.4246583227688413e-08
2.5369307237362493e-08,2.8021380409377633e-11,2.4266514660234497e-08
2.5387997449818902e-08,2.5194365217701783e-11,2.4284435257806932e-08
2.5404802052638133e-08,2.2652561344564164e-11,2.4300547888777416e-08
2.5419911280309222e-08,2.036719444739178e-11,2.4315034954606784e-08
2.54334961751213e-08,1.8312393174682542e-11,2.4328060454715272e-08
2.5445710523230627e-08,1.6464896265174365e-11,2.4339771842990808e-08
2.5456692595744734e-08,1.4803789238505564e-11,2.4350301697084508e-08
2.546656671393449e-08,1.3310267630758427e-11,2.435976921915609e-08
2.5475444656557443e-08,1.1967424122204671e-11,2.4368281585365862e-08
2.5483426925367498e-08,1.0760057128639907e-11,2.437593515913309e-08
2.5490603882688765e-08,9.674498724042833e-12,2.438281658198073e-08
2.549705677435306e-08,8.698459910469196e-12,2.438900375440588e-08
2.55028586496527e-08,7.820891496843021e-12,2.439456671766866e-08
2.5508075187994036e-08,7.031859025393998e-12,2.4399568446755992e-08
2.551276544257343e-08,6.322430296524105e-12,2.440406556324451e-08
2.5516982508910766e-08,5.684574266955025e-12,2.4408108976309816e-08
2.552077412578656e-08,5.111070121305946e-12,2.44117444590233e-08
2.552418321572399e-08,4.595425544933801e-12,2.4415013166506803e-08
2.5527248370913836e-08,4.131803211411965e-12,2.4417952101843217e-08
2.553000429013352e-08,3.714954707635854e-12,2.4420594534961598e-08
2.553248217145957e-08,3.340161130385899e-12,2.442297037926732e-08
2.5534710065399503e-08,3.00317964961647e-12,2.442510653027456e-08
2.5536713192606435e-08,2.700195485527647e-12,2.4427027170071937e-08
2.5538514229212166e-08,2.427778724792693e-12,2.4428754041069118e-08
2.5540133563681922e-08,2.182845491664248e-12,2.4430306692146848e-08
2.5541589527445827e-08,1.962623029436361e-12,2.4431702699935383e-08
2.554289860260313e-08,1.7646183272476265e-12,2.443295786780173e-08
2.554407560840498e-08,1.5865898802285969e-12,2.4434086404771912e-08
2.5545133868944364e-08,1.4265223300129694e-12,2.4435101086325392e-08
2.5546085364192695e-08,1.2826036422818545e-12,2.443601339905654e-08
2.5546940865423893e-08,1.1532045936586727e-12,2.443683367072108e-08
2.554771005725218e-08,1.0368603294302005e-12,2.4437571187127534e-08
2.554840164720878e-08,9.32253778867339e-13,2.443823429723978e-08
2.5549023464332033e-08,8.382007582872629e-13,2.4438830507762864e-08
2.2968881142430374e-08,7.536365341744976e-13,2.1970804244015927e-08
-0.0012376373193214163,0.004140764606650353,0.00024430642932843247
-0.0011113982905534793,0.003718406616772771,0.00021938719477581828
-0.0009992705368886126,0.0033432699064685984,0.00019725663234053926
-0.0014284092475390594,0.004434319820526051,0.00033898370618500474
-0.0035206235072995796,0.007207243512173407,0.0012847345349846747
-0.006986571373725759,0.008661305212833821,0.003092664127691055
-0.011661717672408593,0.00820426976100493,0.0056972551908014285
-0.017405983338332355,0.0050011839085602385,0.009009630267900495
-0.024091132866303305,-0.001858602220917772,0.012927380530754439
-0.03159560834594296,-0.012565836349226159,0.01775355171525822
-0.039939001620338005,-0.029416349914465515,0.023253364929492218
-0.0489469429010955,-0.052961627364226514,0.029636547147978917
-0.05849601625115834,-0.08540657602607252,0.03635044581090213
-0.06826191242499294,-0.12748855853664692,0.043641045182203
-0.07790815716409302,-0.18010184794531045,0.05144766238791893
-0.0870934725370008,-0.24262858791203792,0.05972382477290156
-0.09513553262739664,-0.31480638868701866,0.06910398697063347
-0.10816884397630105,-0.3618339073334789,0.07224297490340013
-0.12060543937593403,-0.4110064702996787,0.07604631837197448
-0.13084273562232895,-0.4839686912191115,0.08352145143705485
-0.13438392540287813,-0.5753169106901549,0.09601152038255331
-0.13661997588266256,-0.6399695832049167,0.10634894749578791
-0.13935588056359363,-0.6991646963500637,0.1186220521106719
-0.14388212145790225,-0.7537765375328105,0.12976498855876592
-0.15940221752933914,-0.7610260888567039,0.13412502618626515
-0.17571080369953435,-0.7712885974647268,0.13838969292687198
-0.18930455941492494,-0.7829329513392529,0.14599243942743645
-0.19599380767622196,-0.8082903738420981,0.1598466179043744
-0.20149791416808865,-0.8301378075191542,0.17679286430500218
-0.2074895571078953,-0.8485959472970298,0.19142662189380716
-0.2136153188330493,-0.864800664030487,0.2061380767277719
-0.21793155721386043,-0.8837644539836058,0.22192162117092376
-0.2295261394029683,-0.8852927651539062,0.23170389523673027
