"[0.5018452825912687, 0.022706430061521926, 0.7187430777716592]","(-0.6850817516215146, -0.048476264756910865, 0.11549843048456962, 0.717616302703622)"
0.0,0.0,0.0
6.940801282278505e-09,-2.6888697158731437e-07,0.0
1.3168653844314085e-08,-5.103649307758683e-07,0.0
1.876834761621492e-08,-7.274812062594653e-07,0.0
2.3803223067569095e-08,-9.226932787925858e-07,0.0
2.8330251144750708e-08,-1.0982109972997653e-06,0.0
3.2400656341012205e-08,-1.2560212654379134e-06,0.0
3.6060496344164064e-08,-1.397910534179297e-06,0.0
3.935118319108106e-08,-1.5254850248741125e-06,0.0
4.230995185552633e-08,-1.640188912071141e-06,0.0
3.803368794945533e-08,-1.4744151280647591e-06,0.0
3.419656173046692e-08,-1.325664973914222e-06,0.0
3.074654612190383e-08,-1.1919215617030373e-06,0.0
2.7644594979200458e-08,-1.0716712273832426e-06,0.0
2.4855592837444498e-08,-9.635526837518554e-07,0.0
2.2347966963004865e-08,-8.663419812365492e-07,0.0
2.0093329925617037e-08,-7.789386518341731e-07,0.0
1.806615824016884e-08,-7.003532513283238e-07,0.0
1.6243503429597052e-08,-6.296961583446678e-07,0.0
1.4604732238019454e-08,-5.66167503444842e-07,0.0
1.3131293053171432e-08,-5.09048114251814e-07,0.0
1.1806505893987647e-08,-4.5769137410157293e-07,0.0
1.061537358585409e-08,-4.115159020574626e-07,0.0
9.544411985989822e-09,-3.699989714217053e-07,0.0
8.581497337004036e-09,-3.32670592238748e-07,0.0
7.715729020616172e-09,-2.9910819080181704e-07,0.0
6.937306157823179e-09,-2.6893182593281284e-07,0.0
6.237416658718181e-09,-2.4179988787905563e-07,0.0
5.6081374653485485e-09,-2.1740523114825006e-07,0.0
5.042344856617038e-09,-1.954716975373688e-07,0.0
4.533633814782059e-09,-1.757509896980669e-07,0.0
4.076245465577843e-09,-1.5801986134111963e-07,0.0
3.6650020169514932e-09,-1.4207758736873898e-07,0.0
3.295248011734515e-09,-1.2774369421318507e-07,0.0
2.9627976716006734e-09,-1.1485591588552749e-07,0.0
2.6638870421204374e-09,-1.0326836637192298e-07,0.0
2.3951328465079084e-09,-9.284985913033662e-08,0.0
2.1534926682201405e-09,-8.348245207787796e-08,0.0
1.9362310339220184e-09,-7.506010203752799e-08,0.0
1.7408884461424053e-09,-6.748746429424075e-08,0.0
1.5652535406840744e-09,-6.067881325072666e-08,0.0
1.4073380529954727e-09,-5.4557071975910396e-08,0.0
1.265354310144461e-09,-4.905293966012649e-08,0.0
1.137694993573998e-09,-4.4104107099233516e-08,0.0
1.0229095589191947e-09,-3.9654657676121246e-08,0.0
9.197045792801787e-10,-3.5654103261557844e-08,0.0
8.26911722129149e-10,-3.20571559479468e-08,0.0
7.434805314259555e-10,-2.8823096705908262e-08,0.0
6.684665293196353e-10,-2.591531455924314e-08,0.0
6.010205242344785e-10,-2.3300892132299277e-08,0.0
5.403789976685902e-10,-2.0950233010801523e-08,0.0
4.858554608040668e-10,-1.883672669722403e-08,0.0
4.368326831698917e-10,-1.6936447368510813e-08,0.0
