"[0.49517458770201184, 0.01169715792122552, 0.7204252868035368]","(-0.27595853150211014, -0.6218427111176108, 0.6365435565876435, 0.36327789925599935)"
0.0,0.0,0.0
-4.317292210219194e-09,0.0,-4.129133301770949e-09
-8.196891216188476e-09,0.0,-7.839650171759828e-09
-1.1685054775413654e-08,0.0,-1.1175791795450229e-08
-1.4821276186030284e-08,0.0,-1.4175330156054068e-08
-1.7641065043678438e-08,0.0,-1.6872227168550127e-08
-2.017634816331148e-08,0.0,-1.9297018126878766e-08
-1.813600171570676e-08,3.550762114890027e-18,-1.734559450516926e-08
-1.630630588886957e-08,6.64457433934672e-12,-1.5595740993498813e-08
-1.4661198689922164e-08,5.971677897546416e-12,-1.4022321079739294e-08
-1.3174561294111068e-08,5.3692113264489654e-12,-1.2600464585375721e-08
-1.1845417240799398e-08,4.8275239920840244e-12,-1.1329239518756996e-08
-1.065035909559794e-08,4.340485756188991e-12,-1.0186257410910865e-08
-9.575862409519754e-09,3.902583733061092e-12,-9.158583156882588e-09
-8.609741490359838e-09,3.508860677961927e-12,-8.234562067305795e-09
-7.741123720750131e-09,3.1548810037038762e-12,-7.403795319911356e-09
-1.1277366601113107e-08,2.8365920018685175e-12,-1.0785915446305411e-08
-1.4454721151621602e-08,2.5504144988230306e-12,-1.3824789793879845e-08
-1.7311493991697258e-08,2.293108811739855e-12,-1.6557054922103702e-08
-1.9880029552806275e-08,2.0617621275799003e-12,-1.901364549480635e-08
-2.218940985685939e-08,1.8537554995266647e-12,-2.122237596563608e-08
-2.4265782662243624e-08,1.6667342008330808e-12,-2.3208254421340155e-08
-2.6132657520136893e-08,1.498581067904102e-12,-2.4993765733334153e-08
-2.3491392231745247e-08,1.3473925331041779e-12,-2.2467609879144844e-08
-2.1121402881611562e-08,1.2114570757873242e-12,-2.0200907437196873e-08
-2.330762752912231e-08,1.0892358462490493e-12,-2.229185039862198e-08
-2.527117549942e-08,9.793452471149503e-13,-2.4169822215927095e-08
-2.703661012659706e-08,8.805412679745735e-13,-2.5858315207070062e-08
-2.8623919259789713e-08,7.917054038539489e-13,-2.737644605063244e-08
-3.0051075069653593e-08,7.118319939929693e-13,-2.8741403602118107e-08
-3.133423640416799e-08,6.400168359155762e-13,-2.996864243022823e-08
-3.248793174633578e-08,5.754469505612511e-13,-3.107205779986389e-08
-3.35252237117006e-08,5.173913783120735e-13,-3.206414299964804e-08
-3.445785694862248e-08,4.651929047231406e-13,-3.2956130795643474e-08
-3.5296391116129696e-08,4.182606197334079e-13,-3.375812061303811e-08
-3.6050320444638555e-08,3.760632294935378e-13,-3.447919288564713e-08
-3.240848415040174e-08,3.3812304085084587e-13,-3.099607333192747e-08
-2.9138869087505106e-08,3.0401055389096556e-13,-2.7868953044963296e-08
-2.6199112924720395e-08,2.7333960064635733e-13,-2.505731590770181e-08
-2.3555942275477016e-08,2.4576297214754627e-13,-2.2529338638155997e-08
-2.1179435276299885e-08,2.2096848864199774e-13,-2.0256403412951503e-08
-1.904268882039229e-08,1.9867546599853695e-13,-1.8212779603465194e-08
-1.7121513995986543e-08,1.7863153673622896e-13,-1.6375332487318522e-08
-1.5394162257214774e-08,1.6060979541040876e-13,-1.4723261353213415e-08
-1.384107922097147e-08,1.444062276982798e-13,-1.3237864027673904e-08
-1.2444683302688785e-08,1.2983740240353916e-13,-1.1902325158204146e-08
-1.1189166685021384e-08,1.1673839340221382e-13,-1.0701525856082159e-08
-1.0060316366345835e-08,1.049609152666747e-13,-9.62187254382901e-09
-9.045353263004262e-09,9.437164049351496e-14,-8.651143069566164e-09
-8.132787542546032e-09,8.485069426953372e-14,-7.778348345196376e-09
-7.312288542148561e-09,7.629029515326238e-14,-6.993607933814086e-09
-6.574567750452769e-09,6.85935357992715e-14,-6.28803813140382e-09
-5.911274128443256e-09,6.652337869291478e-14,-5.653651923009915e-09
-5.314897835085395e-09,5.980658812155026e-14,-5.0832666040854936e-09
-4.778689530034759e-09,8.32800051612431e-14,-4.5704275069563635e-09
-4.2965726202576166e-09,7.484525107248478e-14,-4.109321930231706e-09
-3.863095426975417e-09,6.729431555544047e-14,-3.6947362832267703e-09
-3.473322953679495e-09,6.050514048478448e-14,-3.321950639394153e-09
-3.12287379547384e-09,5.440091058834711e-14,-2.986774545598902e-09
-2.807780678937504e-09,4.891252288541229e-14,-2.6854136277234496e-09
-2.5245099234885437e-09,1.1361314833983486e-12,-2.4145046670654194e-09
-2.2696150246952856e-09,1.0202949844768184e-12,-2.170716743695465e-09
-2.0404361348611775e-09,9.173610276361901e-13,-1.9515242795740594e-09
-1.834581264132056e-09,7.469306733269968e-12,-1.7547396284420354e-09
-1.6494944113289815e-09,1.3352850091454299e-11,-1.5778078192498493e-09
-1.4818475660008218e-09,1.1998328688734547e-11,-1.4174467409851327e-09
